Author,Rating
A,5
Sameer Patil,3
Amazon Customer,1
Shubham Dutta,1
Nepuni Lokho,5
Anand S Prasad,1
Srikanth Jatla,5
KAILASH C.,1
LDM,4
Ankur Arora ,1
Ayush Kumar Singh,5
Meher k.,1
Nitesh,3
Neel,5
Mondal,3
Manohar Mali,5
Harshal,5
Alfred,5
Aniruddha Ghosh,2
yaswanth kumar,5
Rituparno Das,5
Dinesh,1
AMIT SINGHA ROY,5
Prince kumar,1
Suraag,5
Kusan Majumder,5
Sushil Nagpal,5
Vyver,5
Santanu Biswas,5
H S.,1
varun,1
Ratnesh,1
mike,5
Bharat Oberoi,5
Amazon Customer,3
Arun Stambhampelli,1
Karthik S,5
Awinash Goswami,4
Pooja P.,4
Pratik,5
Sobin Thomas,5
mit z,5
S. Chandrasekaran,5
anurag raghuvanshi,4
Sachin Singh,5
wangkhem yuhen singh,1
rajeev kumar,5
RAO ANAND,5
JYO,5
Adil Arfi,5
Vishal,5
Its me!,5
Spitzer,4
abhishek jain,1
Swamy,5
Pab,5
Sachin,5
Winnie S.,5
Hemang,5
Ankan Pal,5
Vishal,1
Alexander,4
Ayan,1
Vinod Kumar Imandi,5
Balaji D. C.,5
Blessed,5
Asha,1
Sayantan K.,5
Ravi Kiran C R,4
Ranjit,5
Amazon Customer,2
MEHUL,1
PUNEESH JAIN,5
Nalinh,5
stef,4
Aditya_kr23,5
Aravind,5
aj_adtech,4
Vedant s.,1
Som Shubhra Lahiri,5
Sivani,4
SUNNY SINGH,5
Ravneet Singh,5
Jay,5
aditya,5
Vistrit,5
Amazon Customer,5
Amit Kumar,5
Review by Manish,5
Srini,1
Ramki,5
Amazon customer,3
Dan,4
ExcitedNeurons,5
nithin,4
Dimple,4
Sanket,5
Mario Justin,5
Amazon Customer,4
Ashish Prasad ,5
AKSHAY J.,1
ashwani Sharma,5
Vishesh,4
Arya Paul,5
Rinkle,5
Kirandeepu,5
Radhakrishnan,3
Gopi V.,5
Vibhuti Srivastava,5
Rohit Beniwal,5
AGK,5
Piyush Singh,5
Monit,5
Sayak Chatterjee,5
Palak,3
Madheswaran,5
sumeet p.,5
Priyankat,5
Ajith Kumar,5
Debabrata Mukherjee,5
Rittwick,2
Riju C.,5
Sathish Kumar,2
Nikhil,1
PB,5
Arun,4
Danish,4
santhanam,3
NAMAN,4
nirmal,5
Ashar shaikh,5
Rohan Mathur,5
SUNDAR,5
User,5
Dhir Sahab,5
nitesh agarwal,5
SR,5
Sudarshan,5
ajay johar,5
Customer,5
Sriharikesh,4
Srishti raj,1
Shruthi,4
Shreyash Mishra,5
Nakul,1
Sreyanshu Roy,5
Pramodh,1
lalit,4
Sabya Sanchi Mishra,5
Ishu gupta,2
Anil Sharma,1
Rustam Katnaur,5
Bela,5
Ranjit B.,5
Sudheesh RR,5
Lodey svh,4
Novel,5
Aman,4
Rajendra Prasad,4
Punit Yevale,4
nikhil kila,1
Ankitgp,5
aayushi singh,5
RAJNEESH PRATAP SINGH,1
Anuj,5
Kailash ,1
Adityapc,4
Magesh,5
sateesh kumar,5
Nitesh,5
Amitesh Ranjan,5
sangeeta,4
Saad khan,2
Akshay Padhiyar ,4
VINAY KR SINGH,4
AmazonFreak,5
Nagesh,5
Biswa,5
Deepak Kumar Behera,3
Hardik Walse,5
Bharat,2
P.Ramudu,5
Sourav,5
Ravi adc,5
anudeep,5
Arunava D.,5
Ricardo cuffley,5
Nascent,4
Syed Ismail,5
Srinivas j,5
Suyash Aswal,5
PRADEEP KUMAR HEGDE,5
Damsel,5
Ravi pandey,5
Kaushik Bhorjar,5
avtar,5
RONI,5
Kevin Mehta,5
BULA MONDAL,5
kozhikoden,5
Suresh,1
Veron kerr,5
Moumita Ray,5
Rakesh HB,5
SANTANU MAITI,5
VETRI,5
Sim,5
Vaibhav Vadile,5
Nikhil kumar,5
Devgire Ganesh,1
Satish Mulupuri,5
seshu,3
Lohith,4
Subhendu B.,1
Diwakar,5
Akshay S.,5
Swaroop Ghatak,5
Afsal,1
Aamir Ahmad,5
Deepak,5
R for ravi,5
Divakar ,5
Ethan Hunt,4
Sanuraz,5
Boosan,4
Srujan,5
Vishnudutt ,5
AJALRAJ,5
Shristi Sinha,5
Preethi ,5
Jayant,5
Buddy,5
Vishal G,5
Ravish Arya,5
vicky,1
N D,5
Praveen Tripathi,5
Shubhrajyoti,5
Naveen,4
Binoy TJ,5
Naveen Kumar Maharasan,5
Himanshu Parekh,5
Vishnu Dev,5
Rounak Rathor,5
Heera,5
Karn s,3
MOHAMED FAJRUDEEN,5
Fahme razvi,4
Abhi Maruvada,1
Navneet Ghai,5
Amit Mishra ,3
Dr Shaunak Shah,5
arpitaa,5
Arun Nair,2
Tanu,5
mukhtiarjaved,4
dijith,1
Induja,5
Rajeev,1
amazonUser,3
Jyothi boda,4
Akchand,5
Shubham Kumar,5
mandeep,5
Surya Kiran Majji,5
Bina Gupta,2
rhytm,5
Nishant Bhardwaj,3
harshul gandhi,5
RM,4
samm,4
Miss Preet,4
M Mohammed Farook,5
Rajesh Chidambaram,5
Anoop Singh,4
Aiman sayed,5
aashish bhargava,1
Charan,1
Soumya Roy,5
REETESH RAHUL SINGH,5
Minion,5
anil dewnani,4
Pawas,2
Rahul Singh ,5
Avinash Chavan,5
Alen s.,5
Deepak Pv,5
Agniswar Mukherjee,5
Ajit Shaw,5
AVerma,1
RAGHAVENDRA  GONDKAR,1
IOS fan,5
NIKHAN,5
Sujeeth reddy,5
Pujan Vanani ,5
Himansu Achary,3
Sankha,5
R. Raushan,5
Sangramsing Rajput,5
Poonam N.,1
Ama Srikanth,5
Dheeraj Joshi,2
Seema Sabharwal,3
Deepak shahi,4
Kumar shashank shekhar,1
Tushar,1
Rosylean,5
Divye Juneja ,5
dipesh shaw,5
Manish,4
Veerendra Dogra,5
Just Kidding,5
Rajveer kumar,5
Sachinn Sawardekar,5
BK Sumit,5
Rafeeque Kaniyattil,1
Bikramjeet singh,5
Vatsal Pandya,5
PROSENJIT MITRA,5
Shafia,1
rishabh gupta,1
Sanjay Assudani,4
Hanuman,5
Vishnu raj,5
pranay,5
Paresh Kamat,5
Harsh Oswal,5
Ankit,5
Pramod Pandey,5
Santanu,2
PRAVEEN,5
Rajesh Putchakayala ,5
Shirish Tambe,5
Dinesh Garg,1
Amit,5
Srikanth Sankaran,1
atul,5
Sid,5
SKumar,1
Santhosh,5
Melting Ice,5
Upendra,5
Nikhil Sharma,5
mohit verma,5
Leandro Fernandes,1
Amitansu,5
Anjan khatri,5
Siva Prasad dadi,1
7838460782,2
dippy,5
Amit Savant,1
Aditya Rane,5
LAXMAN KALUBARME,5
Mohit Jaiswal,5
Nikunj Daga,5
DEEPAK SHENOY,5
Sunny S.,5
Vishal T.,5
Srk,5
kurreish gouda,4
Akash Barman,5
Pravin K.,5
Guru Kishore,5
Sovan Sarkar,5
Reuben mark,5
Sreenivasulu Bodolla,5
Pratik Banerjee,5
soumya,1
CALVIN K.,4
Aastha narwal,2
Sunil Rigesow,5
Mr.k Kasi Viswanathan,5
Pranav Vaidya,1
Siddhartha Verma ,5
Vikram reddy,5
Omkar Soni,1
amlan,4
shekar,4
Singh,5
Ramkumar baskaran,5
Ajay lakhina ,5
Nishant kale,5
Ashish,4
Ashish G.,4
satya,4
Praveen Kumar Mishra,5
Pradeep Gattupalli,5
siju samson,2
souvik dutta,5
Tushar Sharma,4
Rishi Srivatsa,4
Shiv,5
Koosh,5
Mdabdulmuzid ,5
Udit,1
parveen,1
Amol,4
Rashmi R D,4
Manu Narayanswamy MP,5
Dibyoshree S.,5
Abhishek K.,4
Ranbir Mehrotra,4
Shyam Maletha,5
Raveena,4
Abdullah,5
Ranit R.,3
Sb,4
Abhinav Paitandy,5
sushil,1
G Ramaesh Babu,3
JAYAPRASAD,5
Aarav sah,5
Ushank,5
D S Rao,4
Guru,5
Dinesh C.,4
Jamili G.,5
Saif A.,5
Pradeep ,5
Yogesh Kumar,5
dalvendra k.,1
Shivang,5
Thirupathi,5
AK,5
Kunal Kashyap,5
anup kumbhar,5
"Bidyut Das, Mumbai",1
ramessh shettyy,2
Vijay Kumar,5
vishal,3
RaghavSingla,5
Aemula Narsimulu,4
kashvi,1
RAVI ARATPAYRE,1
Mayank Agrawal,1
Sahibe alam,5
HARKESH MEENA,5
GURU Automation and Technology,5
Ritesh,5
mahi,5
Muhammed Lafin Shan,5
K. K. Singh,4
Arpit,5
Rishabh Dangi,5
Priyanka Vats,1
pvrao,3
Manoj Rankaal,5
mohit saxena,5
Aditya Govindam,5
Rajesh,1
saurabh saxena,5
mandar Rao,5
Anil raja,4
Sudarshan kumar,3
Harshdeep Singh,5
Anil,1
nuts,1
piyali das,2
Jitendra Mistry,4
Rekha Pradheepa,1
Naveen,5
gagan,5
Preeti Sanghvi,1
A.S.L.Narayana,5
Mrityunjay Ravi,5
balagopal,4
Lakshmi thiruvengadam,1
parmar bipin,5
Prateek Sharma,5
Pradeep makhija,5
janakiram,5
Harish HR,5
Kumar G.,5
Gaurav Sharma,5
Radha Krishna,5
dnynesh,5
neetu chouhan,5
rohit saha,5
Abhijeet kumar,1
Karan Nagrecha,5
Shashi,4
Shamsuddin Hasnani,5
sneha,5
Ritambhara Chauhan,5
sreenath,5
Ashiq N,5
Suresh Iyer,5
Neerali Dodiya,5
Santosh,5
Krishna,5
Deepanshu Chawla,5
sukanta k.,5
Suraj Singh,5
purushottam,5
Poojadsingh,5
Suma,2
Priyanshu khurana,5
Sumit Wankhede,5
Babu,5
Ramprasad,5
Amit Tiwari,5
SUVOJEET MUKHERJEE,5
Satyam,4
Rohit anand,4
Rajesh R,4
Madhavi,5
rajat purohit,5
RISHIKESH SINGH,5
Don't buy,4
srivathsa,5
Bipin Kulkarni,3
Charanteja,5
Vijay R. Wagh,5
aakash,5
